Legislature	Bill Number	Shortened Title	Title	Cosponsors	Description	Sponsor	Latest Action
Maine	HB44	An Act To Establish the Summer Success Pilot Program Fund	An Act To Establish the Summer Success Pilot Program Fund	0	Creates a pilot summer learning program to combat learning loss.	Representative Teresa PIERCE of Falmouth	The Bill was REFERRED to the Committee on EDUCATION AND CULTURAL AFFAIRS pursuant to Joint Rule 308.2 and ordered printed pursuant to Joint Rule 401.
Maryland	HB237	State Department of Education - Early Literacy and Dyslexia Practices - Guidance and Assistance	State Department of Education - Early Literacy and Dyslexia Practices - Guidance and Assistance	0	Requiring the State Department of Education to establish a stakeholder advisory group to develop a reading and dyslexia handbook to guide local school systems in the implementation of best practices for early literacy and dyslexia; requiring the development of tools and materials to address the needs of at-risk and struggling students with dyslexia.	Ebersole	First Reading Ways and Means
Maryland	SB371	Special Education - Individualized Education Programs - Educational Evaluations	Special Education - Individualized Education Programs - Educational Evaluations	0	Updates IEP parental rules.	Peters	Hearing 2/11 at 11:00 a.m.
Maryland	HB566	County Boards of Education - Virtual Schools - Requirement	County Boards of Education - Virtual Schools - Requirement	0	Requires each county to establish virtual schools to provide students with an alternative to traditional classroom instruction; and requiring certain virtual schools to provide instruction to students in each grade level.	Long	Hearing 2/05 at 1:30 p.m.
Maryland	HB665	Education - Public Charter Schools - Virtual Learning Programs	Education - Public Charter Schools - Virtual Learning Programs	0	"Altering the definition of ""public charter school"" to include a virtual learning program; defining ""virtual learning program"" as a program of instruction that provides a significant portion of its curriculum and delivers a significant portion of its instruction to its students by teachers in an interactive learning environment through the Internet; and requiring a virtual learning program of a public charter school to employ a teacher with the same certification required by professional staff of other public schools."	Boteler	First Reading Ways and Means
New Hampshire	HB242	relative to the content of an adequate education.	relative to the content of an adequate education.	5	"Requires additional funding from the state for students that have special educational needs, are ELL, or are economically disadvantaged."	Rick Ladd	Introduced (in recess of) 01/06/2021 and referred to Education
New Hampshire	HB194	relative to the release of student assessment information and data.	relative to the release of student assessment information and data.	7	Updates student privacy laws and allows the state department of education to request the testing entity to assessment results to students and families. The department may collect student address information for the purpose of distributing results. Requires that the data must be destroyed after the student completed grade 8 or is no longer enrolled in a NH school. Anyone who violates these rules is guilty of a class B felony.	Glenn Cordelli	Public Hearing: 01/26/2021 02:15 pm Members of the public may attend using the following link: To join the webinar: https://www.zoom.us/j/91325381640 / Executive session on pending legislation may be held throughout the day (time permitting) from the time the committee is initially convened.
New Hampshire	HB323	relative to a statewide student assessment report.	relative to a statewide student assessment report.	7	"Requires each school to provide parents, guardians, and teachers individual student performance on the statewide assessment as soon as practicably possible after the test is taken, but no later than June 30."	Rick Ladd	Public Hearing: 01/26/2021 02:15 pm Members of the public may attend using the following link: To join the webinar: https://www.zoom.us/j/91325381640 / Executive session on pending legislation may be held throughout the day (time permitting) from the time the committee is initially convened.
New Hampshire	HB153	establishing a committee to study universal Internet access for New Hampshire.	establishing a committee to study universal Internet access for New Hampshire.	5	Estalishes a committee to study universal Internet access for New Hampshire.	Lee Oxenham	Public Hearing: 02/01/2021 02:00 pm Members of the public may attend using the following link: To join the webinar: https://www.zoom.us/j/92752912485 / Executive session on pending legislation may be held throughout the day (time permitting) from the time the committee is initially convened.
New York	S1030	Establishes the community schools act; appropriation	Establishes the community schools act; appropriation	0	Establishes the community schools act; authorizes the commissioner to award grants for community schools programming	Andrea Stewart-Cousins	REFERRED TO FINANCE
New York	S273	Establishes a culturally responsive education curriculum and standards; appropriation	Establishes a culturally responsive education curriculum and standards; appropriation	10	"Establishes a culturally responsive education curriculum and standards; requires all school districts, charter schools and private schools to integrate culturally responsive education throughout the education of all students at all grade levels; establishes a pilot program in culturally responsive education;"	Zellnor Myrie	REFERRED TO EDUCATION
New York	A1912	Establishes procedures related to home instruction	Establishes procedures related to home instruction	10	Establishes procedures related to home instruction to assist school authorities and parents.	William Magnarelli	REFERRED TO EDUCATION
New York	A2283	Requires school districts to conduct mandatory early screening for dyslexia for all children	Requires school districts to conduct mandatory early screening for dyslexia for all children	16	"Requires school districts to conduct mandatory early screening for dyslexia for all children commencing in pre-kindergarten or kindergarten and continuing thereafter on an annual basis until each child successfully completes second grade; requires school districts to designate an individual to maintain complete and accurate records containing early screening reports for each child, and to provide resources and materials to the parent and/or guardian of any child who displays indications of dyslexia."	Jo Anne Simon	REFERRED TO EDUCATION
